Id,SalePrice
2658,140315.7100196135
2718,149490.34153154542
2414,247473.48767249117
1989,105078.0579402314
625,176995.89755354184
333,89683.18045018254
1327,103689.9110837116
858,157542.25506535615
95,170100.03953183722
1568,159746.02603357562
2482,144963.93858053902
1364,115374.14182320419
2584,146638.5802051387
818,294896.59466840205
2673,151972.08461704862
2089,130886.29000580122
1297,155955.49926602753
790,122336.76210538638
2616,192931.91902544646
720,212666.2583505667
222,159028.8148318232
557,128082.25574090061
1148,166204.31784062448
2766,162259.9190082478
534,178749.92064326917
1452,140392.869980488
630,120292.85259466489
2648,121259.39588921642
125,176775.51373649616
1904,72263.30216987207
1670,109525.75902761487
756,105455.85162745974
717,223735.80364642403
1032,146652.36335758108
852,228995.42956481408
1731,192092.93582552762
2639,116132.78121865408
2071,92372.82099786305
1267,139796.49104486866
1851,179580.18410288982
567,164267.52286415815
2439,210308.27296793487
1898,146776.09365444348
647,180529.91456834253
2256,204767.15048787824
979,91797.66015044444
1444,234367.80476975362
2485,114281.47950949252
157,136500.5868206513
88,119221.0603426105
2003,99061.31051581728
186,225323.68850890186
1425,244906.44442337102
2695,118741.6806322556
738,95107.7955692822
395,167587.44311825416
1353,165541.48486362462
1878,148971.5817018416
390,166896.16556071801
1456,239572.35880228033
1103,306958.8288660308
1387,106078.99107721436
2070,142174.0382450878
1199,177167.05557626713
2479,182964.47868759758
501,315369.8836906011
2362,86449.77890478958
1718,217678.23141287896
2188,88723.62166064352
1483,164855.87464272822
2557,84651.04521279463
437,354486.81302273774
2224,148659.34114254444
1628,190776.70230150546
397,135200.73794958423
587,189199.5410998815
2182,516267.0432796
971,141746.3459491578
2611,126211.66144920539
1887,96814.3621088017
2399,372677.0313874822
2148,197575.5469970263
304,143458.4611111239
1997,139933.93362752697
2817,125487.24611235145
1431,223389.07753875272
427,335378.9755639082
263,141139.51392871246
598,182610.82474769506
2895,224239.25592077823
687,145237.98150699408
1822,138178.95902064838
2191,102213.12005605105
179,112546.50290309727
1009,270115.50027216406
2010,123112.42094808209
1991,141905.68306389387
1411,226716.2844812439
1721,256177.19661372813
1144,200327.49958246257
593,240762.5363247643
575,298068.38761699054
1249,162629.39601420728
1604,122356.65154274431
1064,471074.48740452447
1923,139596.379615343
1988,122699.72568335204
2325,180188.7919974911
114,191942.2257709162
2700,157868.43839980412
217,133547.5428372959
343,175128.36670648033
386,230711.3535812272
2005,124179.44428579626
2908,112763.61053420081
1814,229192.0835482576
2446,448766.34119788336
208,157191.75846400898
1679,101490.90181816125
822,319348.2257600648
6,198372.75592414697
1781,378901.20832861355
2397,318997.67242235865
2340,342851.4011946023
1618,182390.8786353129
2843,143351.65960148087
1061,371793.2414450941
2786,129600.12464788143
1935,132523.86775515354
1341,135508.11173649086
521,267210.33915408864
2136,147540.478979856
996,206751.06977759663
227,141285.86241424034
135,192062.59722213293
1167,149025.87579740476
294,203301.81615218215
1776,203664.32241848306
540,167096.6904607235
1717,232020.97020041104
2303,130171.60964399365
116,193521.26417453977
127,148434.4146473512
1371,117838.71203195307
1014,134273.94547807035
1507,101094.03204957128
702,155737.14685058428
750,139446.60902083226
261,154601.8902753853
1559,77109.60515242918
577,192139.87836405524
2812,196236.34459161005
2080,152393.49211438128
1368,104167.48379683097
2376,129256.8345295357
659,111394.5970578937
1235,140803.03207560655
332,63221.56928087288
1917,142597.63610684383
2094,247137.80112216738
1460,263777.1237329542
1471,208906.68249301874
1509,114672.96269810645
1922,118089.00260595499
433,450016.7548019029
460,290505.45325156994
1116,236341.78721842484
1137,165148.37327967014
53,173238.46836086543
2354,270138.87282439845
1475,203703.5086930886
1761,486711.0357394577
842,136743.13890691832
2739,166995.60786745002
2509,148003.4801495133
1007,209168.84381951022
2610,195477.82576340737
1952,93109.98755419845
2719,154020.33763902017
2921,82650.73955246943
1966,130740.15262411973
292,108205.43460671935
1204,196847.94668445594
1829,256017.02700915828
2419,202028.03746872535
391,157561.4398365706
798,119892.9746018541
481,220658.67374466546
193,191906.26052555096
555,126054.86089708967
899,70180.98302781717
2357,212168.11752076854
328,129073.5394852481
1356,107272.48660982144
1154,113388.2203999141
1730,199562.31282331614
2249,183013.09552643707
1119,300971.1471230323
2856,136330.56272592692
1394,127660.5734512345
2587,130359.86676025289
61,326005.0489565837
2661,165781.1945343512
2711,142071.05417858332
1147,190339.97128708722
757,127964.39847222193
2623,91959.60423133845
2378,135171.74431812397
1413,150862.11525432914
1722,252492.01033212076
1112,217709.78735142483
1623,191012.3624529325
1201,212832.2136675702
1513,123884.91732722323
957,243613.58398381853
1171,259655.1129349746
1145,205571.35442603868
2726,209046.02708188444
703,179252.4662510727
760,134046.48626087286
1964,151024.6700497666
2512,190064.74648733277
159,149579.59445590328
1281,183426.79889378554
468,199377.42335578002
290,147956.9949994282
665,105150.40180542303
1463,257155.25947662164
1792,215363.08239878356
923,134048.48299197873
500,267320.83860174066
1408,155615.3842109821
331,79688.90572544138
170,147474.80535628228
2192,97286.59628291479
2571,271920.01972998935
2314,172370.1580875881
2647,90617.0783157628
422,418950.6622190435
2457,301345.58703883603
1838,184554.50111209846
2805,263392.84337525355
1645,170559.28330050223
1711,324153.7604735858
2825,236029.6353304517
322,335779.7775904569
2103,260718.29899366217
342,105424.19449260461
600,132522.7568683463
488,176048.68427400134
1725,321325.5377455593
2246,293265.93527050805
2847,138605.38524717442
806,247947.43413524269
530,223865.79407755498
963,191154.69610254877
2678,114206.03398181916
171,85920.98365484341
2401,412684.5002793103
805,229621.41301990004
2259,232195.9301095757
1748,216342.34201771376
1361,136885.50996926898
1677,99844.1462885676
1406,174306.3957800917
2322,252441.94256230805
688,148765.89119488138
143,129157.13451090662
804,222745.02375916892
1214,221486.4109687584
2828,162161.55587052667
1999,200920.49343766013
2467,205455.97429516312
2665,183901.5819048469
1538,313262.0136812927
398,125600.26563130808
2822,152326.7757293771
2157,149393.2718773398
1856,195903.8273934089
1269,105196.18618600906
2570,103204.50647130702
2320,256769.55821696087
1517,135661.98417330906
2304,113764.22140391644
1312,88260.07023913975
2012,145658.6025944999
506,261148.80520856415
2865,199963.15329434955
2367,90417.32001586365
554,80940.77992487974
238,135531.62595794757
1954,116502.14511720678
2488,149987.91616768946
2291,63264.44627431384
1969,93043.40649016522
2725,151243.20024199865
1482,159327.68330897592
2763,202609.1165864732
503,268991.9363245811
1584,256339.25241333497
1531,150976.14916517978
2210,180224.23634419826
459,343796.5329170488
556,125257.55006605206
1347,135408.57594776867
1290,70410.86437687537
1388,90194.62631057698
1571,222723.35325466524
2754,217747.9292085318
765,161388.98916059211
2494,112015.20531890079
2870,215780.45548470566
7,250675.20162842656
1114,233306.21492249198
2418,289052.2011217441
291,163392.34105341736
18,364039.9181064944
39,389904.36743783415
1001,292858.8611577154
2442,227212.5025475029
616,124807.46703179809
2680,69834.99153343661
1414,122407.58277348307
289,146761.36708123598
40,276021.76787733636
860,131679.93485470748
409,107497.12515338512
673,152940.52497959684
2427,192610.29514339133
2036,221043.6575181332
2564,142196.84012835368
642,147882.09759722915
1008,186686.7296396099
1908,148192.33642679054
2519,193981.08653437562
1369,96416.14768445204
2855,160304.57070353354
712,102568.35839263481
1943,107831.32882693505
1958,125948.45552994098
107,188012.75492600873
2295,188149.0211570867
704,89130.90920064974
676,143516.04937986785
259,182533.10739199238
93,302579.5050691388
106,251132.5120877125
2315,173562.56565804753
1050,100726.03762165696
1095,232132.542207442
2709,157835.41619104435
758,136188.08143175428
1496,190007.74083938915
2370,112025.64296635083
2458,278447.6721905973
2733,132285.6997753885
161,275774.8828913497
726,145688.09674262247
845,215097.7936794672
947,256389.95237133076
2232,103895.76694846264
2563,152796.36931480907
2299,114896.03004841432
211,52645.96306217616
605,157024.42052894807
1478,208729.12708960797
2247,278923.1964829759
2274,204369.28724892923
2869,191375.10523097322
967,207857.44646061375
2656,139217.97948867438
667,193061.21773561387
1042,91055.17584413665
2023,151572.71575560613
2447,376581.0320937848
2055,132729.13522843865
2275,308535.5153075071
2204,171130.18022853308
1563,279204.75765755516
483,229412.94683263154
796,132561.7744256379
1526,134248.99453599076
2042,146020.41496405227
442,358741.81108915224
1693,346808.8741585257
1468,231181.54442398454
1430,193837.3392057142
2605,159368.208564859
1529,226954.440467795
335,123856.89966487324
1287,126713.58094405127
31,82443.59517875974
1785,304397.62445461063
82,183312.32405541904
2620,131856.76484220277
252,177298.1224862204
721,60326.24008486491
2165,193654.43899837544
2316,211745.90637281223
775,150195.22188019156
1558,83964.07788439222
17,239981.20446231478
1022,219106.71071609727
925,115938.5063483794
438,291408.94407579186
1270,142907.7680147172
1272,107360.79071231614
215,160603.03980209897
266,237626.83151867666
2402,320709.72615971696
1250,137081.65860400663
1984,126429.90264625434
1279,152575.13410096004
377,250184.2682014978
1252,120905.27019926767
2156,259124.8497319498
499,330302.86733377154
1374,121301.0060219202
2898,209000.142980167
401,117656.14108016106
2721,158407.25247670827
2078,237821.39802304888
2589,117875.11735407617
1946,213958.17081446998
1334,120832.05345004125
2781,205244.8072091661
431,413518.53534043685
576,206263.6739731059
1474,216933.76642245968
2254,145891.86656597856
2155,298925.14509826544
885,107951.58167390697
643,147830.2540929857
1944,128521.15575739666
480,209366.2765631823
2845,107683.64136051992
2387,336677.5248730772
2407,227547.44639459485
2527,175719.54141412716
2514,145238.0994623243
629,148368.43552753923
80,213527.31255422797
1876,127656.77753913835
1546,121458.29319186822
2518,172493.38123332846
2347,174438.7387621302
783,220130.25636418033
1322,67453.02741368907
194,106188.29624137889
1770,291006.6988476906
2143,140213.46243309282
1229,243093.67426824156
511,269938.99413685006
46,255656.44467683986
1348,163503.1649106122
2465,204140.69552153847
387,245241.0514749609
873,233739.81561519092
1918,115740.24269047716
2764,256381.47494003753
2184,124350.09123726335
934,155406.5918920405
1920,119005.14842466198
2631,161933.81545895294
1768,541426.434822823
2040,117190.47443191573
1749,229789.66958324175
834,251486.48501857574
1457,222660.71626793017
79,107754.30788448027
2302,138058.70504704636
1817,160338.07985385982
2755,238733.3276846069
359,192130.67917127206
2059,107211.62686118303
2092,248599.02728653722
2516,218600.5464513038
150,109212.55709111394
1656,143859.92239789915
83,83031.39314968354
2411,205867.82416757624
795,66194.92978269563
2312,215667.06265063852
2917,112059.04841297094
1624,191672.41752110317
2215,281693.5232998043
1211,146523.2500299703
1485,168041.78611209738
1024,173570.02288668425
570,169613.8990762242
2874,145948.38138035292
700,126114.8176655668
2756,207801.08143293747
2022,165490.43515532388
583,239712.69326492044
2392,397421.38348008745
2424,178472.9461150263
212,87528.47719135962
736,132156.4106384595
1610,171289.1362496422
890,128210.74292020535
467,185219.57403578403
578,241912.93718374643
1747,209777.03334695072
1149,144982.7347362167
2758,245864.2572485346
857,145073.73582461054
2219,273679.31828794617
733,102080.96496157987
2909,113279.20324233508
1798,258567.98487954008
235,129218.37910516105
2366,124515.09548468469
1027,135629.41100962795
1195,153943.01762531212
1303,75315.89539618988
148,178223.20631641784
608,150798.71883797628
2515,213667.2936328915
821,268193.8075732075
2500,290340.70168522873
745,90500.11599834627
741,124729.06450760642
1611,98087.77710621658
2532,125424.3616793979
1081,228862.44635127095
1692,423898.2852927372
2520,194309.7025991878
276,124623.02454308509
1992,136501.8267966982
663,81228.34782012747
418,112626.44144786507
1733,226837.2190403532
2359,145061.8281974294
253,191335.02340175043
1518,185414.89077887379
2035,151803.44983272138
2919,65677.02841236765
1540,241501.11863848084
2120,129728.21802802854
1674,155552.30216974605
